held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,215,64,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,3584.0,11.33,11.035677020684682,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,216,32,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,106496.0,11.3,11.262733129035137,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,217,256,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,5120.0,11.28,11.257453701359434,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,218,32,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,53248.0,11.27,11.356770082489403,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,219,32,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,212992.0,11.27,11.277511011867215,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,220,16,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,51200.0,11.26,11.247804386071447,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,221,64,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,57344.0,11.25,11.265909016943311,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,222,16,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,204800.0,11.25,11.400073484576476,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,223,256,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,2560.0,11.25,11.451546703990456,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,HARDWARE_ONLY,224,16,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,819200.0,11.24,11.435887446965745,False,False
